,longitude,latitude,tags,cluster
0,4.83354707521,45.767718663,"{'europe': 26, 'december': 18, 'terreaux': 47, 'lumi\xc3\xa8re': 24, '2008': 38, 'transenocturne': 10, 'lightfestival': 10, 'lyon': 296, 'fetedeslumieres': 85, 'winter': 10, 'rhonealpes': 11, 'festivaloflights': 15, 'highlights': 14, 'travel': 10, 'france': 147, 'lights': 37, 'fete': 19, 'lumi\xc3\xa8res': 42, 'skertzoetc': 11, '2011': 14, '2010': 13, 'lumieres': 54, '2007': 38, 'geotagged': 12, 'rh\xc3\xb4nealpes': 53, 'hiver': 10, 'nuit': 35, '69001': 10, 'f\xc3\xaatedeslumi\xc3\xa8reslyon2013': 13, 'lumiere': 12, 'mus\xc3\xa9edesbeauxarts': 27, 'placedesterreaux': 75, 'lumi\xc3\xa8res2012': 11, 'd\xc3\xa9cembre': 11, 'lyonlumi\xc3\xa8res2012': 11, 'light': 78, 'des': 19, 'f\xc3\xaatedeslumi\xc3\xa8res': 113, 'festival': 18, 'place': 17, 'h\xc3\xa9l\xc3\xa8nerichardetjeanmichelquesne': 11, 'night': 53, '8d\xc3\xa9cembre': 25, 'rh\xc3\xb4ne': 22, '2009': 26, 'f\xc3\xaate': 34}",0
1,4.82680252366,45.761,"{'8december': 46, 'des': 18, 'frigno': 11, 'december': 56, 'church': 22, 'lumi\xc3\xa8re': 13, 'rho?nealpes': 10, 'oldtown': 39, 'fetedeslumieres09': 10, 'cinqui\xc3\xa8me': 46, 'lightfestival': 19, 'cathedral': 60, 'city': 19, 'lyon': 288, 'light': 50, 'rhonealpes': 11, 'festivaloflights': 27, '5\xc3\xa8mearrondissement': 46, 'france': 183, 'lights': 12, 'fe?tedeslumie?res': 24, '5e': 46, '2011': 13, 'lumieres': 22, '2012': 10, 'europe': 33, 'lyon5': 46, 'f\xc3\xaatedeslumi\xc3\xa8res': 163, '69005': 46, 'cath\xc3\xa9dralesaintjean': 16, 'nuit': 24, 'cinqui\xc3\xa8mearrondissement': 46, 'saintjean': 76, 'fetedeslumieres': 20, '69': 13, '2008': 64, 'celebration': 12, 'rh\xc3\xb4nealpes': 20, 'vieuxlyon': 48, 'd\xc3\xa9cembre': 47, 'cath\xc3\xa9drale': 52, 'primatiale': 40, 'lumi\xc3\xa8res': 86, '5\xc3\xa8me': 46, 'f\xc3\xaate': 72, 'festival': 20, 'night': 33, '8d\xc3\xa9cembre': 61, '5earrondissement': 46, 'rh\xc3\xb4ne': 16, '2009': 56, 'stjean': 51, 'f\xc3\xaatedeslumi\xc3\xa8res2009': 22}",1
2,4.8321079646,45.7579247788,"{'8december': 10, 'illuminations': 19, 'december': 10, 'bellecour': 50, 'lumi\xc3\xa8re': 25, 'lightgraff': 18, 'lightfestival': 11, 'city': 11, 'lyon': 186, 'louisxiv': 11, 'deuxi\xc3\xa8mearrondissement': 10, 'france': 89, 'lights': 15, 'fete': 10, 'lumi\xc3\xa8res': 43, 'xiv': 10, 'placebellecour': 21, 'roue': 10, '2011': 26, '2013': 18, '2007': 16, 'europe': 13, 'rh\xc3\xb4nealpes': 14, 'lyon2': 10, 'night': 32, 'nuit': 17, '69002': 11, '2earrondissement': 10, '2\xc3\xa8mearrondissement': 10, '2\xc3\xa8me': 10, 'fetedeslumieres': 17, '2008': 27, 'celebration': 13, 'd\xc3\xa9cembre': 14, 'deuxi\xc3\xa8me': 10, 'light': 42, 'des': 28, 'f\xc3\xaatedeslumi\xc3\xa8res': 82, '2e': 10, 'lumieres': 30, 'louis': 12, '8d\xc3\xa9cembre': 23, 'rh\xc3\xb4ne': 19, 'f\xc3\xaate': 37}",2
3,4.8205,45.742,"{'lalogothequecom': 217, 'karting': 13, 'subaru': 217, '69': 217, 'valeromichel': 217, 'fisheye': 12, 'alpes': 217, 'lyon': 217, 'tuning': 18, 't\xc3\xa9l\xc3\xa9thon2008': 217, 'nikko': 58, 'spiritracingclubecully': 18, 'lalogofr': 217, 'geotagged': 217, 'perrache': 217, 'cars': 12, 'brignais': 217, 'drift': 217, 'rhone': 217, 'bmw': 217, 'nikon105': 12, 'gymkhana': 217, 'adnracing': 217, 'grandangle': 12}",3
4,4.83626715686,45.768,"{'8december': 34, 'premier': 36, 'premierarrondissement': 36, '69': 35, 'lyon': 167, '8dec': 31, 'festivaloflights': 33, 'placelouispradel': 10, 'france': 102, 'lights': 65, 'fete': 21, 'lumi\xc3\xa8res': 50, 'lumieres': 31, '2007': 22, 'europe': 34, 'rh\xc3\xb4nealpes': 44, 'lyon1': 36, 'nuit': 17, '69001': 37, '1er': 36, 'dec8': 31, 'grandlyon': 31, 'fetedeslumieres': 49, '1erarrondissement': 36, 'light': 48, 'des': 14, 'december8th': 31, 'f\xc3\xaatedeslumi\xc3\xa8res': 79, 'festival': 42, 'december8': 31, '8thdecember': 31, 'night': 27, '8d\xc3\xa9cembre': 43, 'rh\xc3\xb4ne': 37, '2009': 37, 'f\xc3\xaate': 48, 'f\xc3\xaatedeslumi\xc3\xa8res2009': 31}",4
5,4.83573399015,45.7606600985,"{'illuminations': 14, 'lalogothequecom': 11, '69': 13, 'valeromichel': 11, 'alpes': 13, 'lyon': 117, 'festivaloflights': 11, 'france': 33, 'lights': 10, 'lumi\xc3\xa8res': 18, 'lalogofr': 11, 'lumieres': 12, '2012': 10, 'rh\xc3\xb4nealpes': 13, 'brignais': 11, 'rhone': 14, 'fetedeslumieres': 20, 'light': 25, 'f\xc3\xaate': 12, 'f\xc3\xaatedeslumi\xc3\xa8res2008lyon': 11, 'geotagged': 17, 'night': 24, '8d\xc3\xa9cembre': 26, '2008': 22, 'forumsoup': 11, 'f\xc3\xaatedeslumi\xc3\xa8res': 65}",5
6,4.82230153846,45.7621538462,"{'8december': 15, 'basilica': 18, 'photo': 12, 'lumi\xc3\xa8re': 14, 'raw': 10, '5earrondissement': 15, 'couleurs': 10, 'church': 15, '69': 16, 'fourvi\xc3\xa8re': 28, 'f\xc3\xaates': 10, 'lyon': 144, '8dec': 15, 'festivaloflights': 17, '5\xc3\xa8mearrondissement': 15, 'france': 76, 'lights': 19, 'fe?tedeslumie?res': 34, '5e': 15, 'lumieres': 10, 'lumi\xc3\xa8res': 18, 'europe': 31, 'lyon5': 15, '69005': 16, 'cinqui\xc3\xa8mearrondissement': 15, 'dec8': 15, 'grandlyon': 16, 'rh\xc3\xb4nealpes': 26, 'light': 29, '5\xc3\xa8me': 15, 'december8th': 15, 'f\xc3\xaatedeslumi\xc3\xa8res': 83, 'basilique': 12, 'festival': 20, 'december8': 15, '8thdecember': 15, 'night': 12, '8d\xc3\xa9cembre': 19, 'cinqui\xc3\xa8me': 15, 'rh\xc3\xb4ne': 16, '2009': 28, 'f\xc3\xaate': 19, 'f\xc3\xaatedeslumi\xc3\xa8res2009': 19}",6
7,4.83176511628,45.76,"{'8december': 28, 'illuminations': 10, 'december': 32, '2earrondissement': 28, 'festival': 17, '69': 10, 'th\xc3\xa9\xc3\xa2tredesc\xc3\xa9lestins': 33, 'lyon': 147, '8dec': 10, 'winter': 14, 'festivaloflights': 15, 'travel': 13, 'deuxi\xc3\xa8mearrondissement': 28, 'france': 79, 'lights': 13, 'fete': 10, 'lumi\xc3\xa8res': 21, 'presqu\xc3\xaele': 18, '2010': 13, '8thdecember': 10, 'europe': 27, 'rh\xc3\xb4nealpes': 22, 'lyon2': 28, 'hiver': 13, 'th\xc3\xa9atredesc\xc3\xa9lestins': 10, '69002': 28, '8d\xc3\xa9cembre': 40, 'dec8': 10, 'th\xc3\xa9\xc3\xa2tre': 13, '2\xc3\xa8me': 28, 'grandlyon': 10, '2008': 35, 'c\xc3\xa9lestins': 15, '2009': 12, 'd\xc3\xa9cembre': 31, 'light': 22, 'december8th': 12, 'deuxi\xc3\xa8me': 28, '2e': 28, 'december8': 10, 'lumieres': 10, 'night': 18, '2\xc3\xa8mearrondissement': 28, 'rh\xc3\xb4ne': 14, 'f\xc3\xaate': 16, 'f\xc3\xaatedeslumi\xc3\xa8res': 61, 'f\xc3\xaatedeslumi\xc3\xa8res2009': 10, 'f\xc3\xaatedeslumi\xc3\xa8res2012': 31}",7
8,4.8290430303,45.759,"{'ville': 11, 'pentax': 81, 'couleur': 11, 'fish': 13, 'guerre': 13, 'lumi\xc3\xa8re': 60, 'colors': 34, 'street': 24, 'couleurs': 44, 'mondiale': 13, 'fisheye': 12, 'atreides59': 82, 'weltkrieg': 13, 'lyon': 139, 'korrigan': 10, 'eye': 10, 'festival': 25, 'france': 24, 'colours': 14, 'lights': 48, 'fete': 44, 'lumi\xc3\xa8res': 76, 'prison': 13, 'montluc': 13, 'war': 13, 'lumieres': 64, 'city': 23, 'nuit': 84, 'cedriclafrance': 82, 'ww': 13, 'atreides': 82, 'feuxdartifices': 11, 'world': 14, 'vestige': 13, 'lumiere': 67, 'pentaxart': 81, 'light': 81, 'f\xc3\xaatedeslumi\xc3\xa8res': 71, 'wwii': 13, 'kr': 81, 'rhone': 19, 'night': 67, 'f\xc3\xaate': 76}",8
9,4.83352625,45.76029375,"{'8december': 29, 'jacobins': 27, 'december': 48, 'fish': 16, 'lumi\xc3\xa8re': 11, 'festival': 46, '69': 18, 'city': 18, 'lyon': 149, '8dec': 14, 'flyingfish': 10, 'festivaloflights': 15, 'winter': 31, 'deuxi\xc3\xa8mearrondissement': 29, 'france': 101, 'lights': 22, 'lumi\xc3\xa8res': 67, 'presqu\xc3\xaele': 15, '2010': 12, '8thdecember': 14, '2007': 13, 'europe': 50, 'rh\xc3\xb4nealpes': 23, 'lyon2': 29, 'hiver': 31, 'nuit': 14, '69002': 29, '2earrondissement': 29, '8d\xc3\xa9cembre': 46, 'dec8': 14, '2\xc3\xa8me': 29, 'grandlyon': 17, 'fetedeslumieres': 14, '2008': 71, 'celebration': 11, '2009': 15, 'd\xc3\xa9cembre': 22, 'light': 40, 'december8th': 14, 'deuxi\xc3\xa8me': 29, '2e': 29, 'december8': 14, 'lumieres': 17, 'night': 48, '2\xc3\xa8mearrondissement': 29, 'placedesjacobins': 12, 'rh\xc3\xb4ne': 20, 'f\xc3\xaate': 25, 'f\xc3\xaatedeslumi\xc3\xa8res': 65, 'f\xc3\xaatedeslumi\xc3\xa8res2009': 14, 'decembre': 28}",9
