,longitude,latitude,hashtags,date_taken,url,cluster
15286,4.8336,45.768,"[france, lyon, 2012, rhônealpes, fetedeslumières]",6/12/2012_22:8,http://farm9.staticflickr.com/8062/8264554051_97d113c442_t.jpg,0
17301,4.8337,45.767,[],6/12/2012_20:25,http://farm8.staticflickr.com/7297/8877889554_061a841d1d_t.jpg,0
24636,4.8333,45.768,"[lyon, fêtedeslumières, 8décembre2007]",6/12/2007_21:16,http://farm3.staticflickr.com/2041/2092897907_049e937cc8_t.jpg,0
19317,4.8337,45.768,"[france, night, geotagged, lights, lyon, exchange, fêtedeslumières, fetedeslumieres]",8/12/2006_14:46,http://farm1.staticflickr.com/137/320827233_b568abd8ae_t.jpg,0
52941,4.8335,45.768,[],9/12/2012_17:32,http://farm9.staticflickr.com/8099/8479578206_920d7b802d_t.jpg,0
43071,4.8337,45.768,"[red, france, night, geotagged, lights, lyon, exchange, fêtedeslumières, fetedeslumieres]",8/12/2006_14:50,http://farm1.staticflickr.com/137/320827785_94a2d0f33c_t.jpg,0
18774,4.8337,45.767,[],6/12/2012_20:24,http://farm8.staticflickr.com/7379/8877890720_d448faa972_t.jpg,0
24594,4.8333,45.768,"[lyon, 8décembre2006]",6/12/2006_0:29,http://farm3.staticflickr.com/2136/1657876413_38ad755eb5_t.jpg,0
19348,4.8338,45.767,"[lyon, 2011, lumie?res]",9/12/2011_20:28,http://farm8.staticflickr.com/7011/6557778955_620a62b60a_t.jpg,0
58685,4.8337,45.767,[],8/12/2012_11:28,http://farm9.staticflickr.com/8477/8253983693_e199fc1400_t.jpg,0
21745,4.8334,45.767,[],6/12/2012_23:36,http://farm9.staticflickr.com/8184/8374075009_a519b8fe8f_t.jpg,0
41520,4.8327,45.768,"[street, lyon, rue, placedesterreaux, terreaux]",7/12/2009_7:55,http://farm5.staticflickr.com/4114/4760401125_e1b83879c4_t.jpg,0
25184,4.8332,45.767,"[red, rot, lyon, bowl, 2007, kugel, fêtedeslumières, lightofnight, placeterraux]",6/12/2007_22:28,http://farm3.staticflickr.com/2126/2126898800_67b03b8f6e_t.jpg,0
53122,4.8333,45.768,"[lyon, des, fête, 2009, lumières]",6/12/2009_22:25,http://farm3.staticflickr.com/2747/4169107313_828ef22a93_t.jpg,0
21972,4.8335,45.768,"[france, lyon, 2007, rhônealpes, fetedeslumieres]",6/12/2007_20:11,http://farm4.staticflickr.com/3155/2284035915_33a3e3f5a9_t.jpg,0
15141,4.8333,45.768,[],8/12/2011_23:4,http://farm8.staticflickr.com/7028/6486037915_3fe179f92c_t.jpg,0
41233,4.8339,45.768,[vision:dark=0862],7/12/2013_10:48,http://farm8.staticflickr.com/7312/11249184645_c9007188fa_t.jpg,0
40103,4.8339,45.767,"[cameraphone, france, celltagged, geotagged, georange0, lyon, bluetagged, lumieres, cellmcc208, licciardi, cellmnc1, bt001262a77d8b, bt000eed4fcddb, addresscountryfrance, teamlife, bt0012629fb306, wasvel, waltergoix, carlolicciardi, geosourcegps, celllac38144, bt000db5329d66, addresscitylyon, addresspostalcode69001, bt00175c3ba13f, cellcellid2764463, geolat45767397, geolon48338867, bt0014a7747876, bt001370afe522, bt00180fd21314, bt0016ae38677d, bt00164ed69652, bt00073a72af05, cellcgi2081381442764463, addressstreetplacedesterreaux]",6/12/2006_19:57,http://farm1.staticflickr.com/120/315857570_a6ca316013_t.jpg,0
22006,4.8336,45.767,"[light, france, festival, lights, europe, lyon, rhône, 69, fête, premier, 2009, festivaloflights, lumières, 1er, december8th, fêtedeslumières, 8décembre, grandlyon, rhônealpes, december8, 8dec, dec8, 8december, 1erarrondissement, 69001, 8thdecember, lyon1, premierarrondissement, fêtedeslumières2009]",7/12/2009_19:39,http://farm3.staticflickr.com/2771/4177003612_d34d7fbd88_t.jpg,0
42540,4.8335,45.768,"[france, lyon, hdr, 2007, rhônealpes, fetedeslumieres]",6/12/2007_12:41,http://farm3.staticflickr.com/2310/2284821808_83e3602e57_t.jpg,0
24985,4.8336,45.767,"[place, lyon, highlights, lumieres, 2012, fetes, terreaux]",7/12/2012_21:41,http://farm9.staticflickr.com/8357/8260149865_8e96c65860_t.jpg,0
42996,4.8336,45.768,"[light, lyon, hoteldeville, mairie, lumieres, placedesterreaux, terreaux, fetedeslumieres]",6/12/2009_19:39,http://farm5.staticflickr.com/4131/5188082960_5d2e538aa3_t.jpg,0
15156,4.8334,45.768,"[light, france, festival, lyon, 2008, hôteldeville, fêtedeslumières, 8décembre, placedesterreaux, fetedeslumieres, fetedeslumieres08]",7/12/2008_21:52,http://farm4.staticflickr.com/3289/3108776680_178debd183_t.jpg,0
19432,4.8333,45.768,"[lyon, 2007, fetedeslumieres]",6/12/2007_21:0,http://farm4.staticflickr.com/3159/2585463380_2fb500a11f_t.jpg,0
53678,4.8336,45.768,"[france, lyon, fr, rhônealpes, vision:outdoor=0822, vision:sky=0658, vision:dark=0792]",6/12/2013_21:54,http://farm3.staticflickr.com/2865/11295711333_223af7dd99_t.jpg,0
19003,4.8334,45.768,"[lyon, des, lumières, 2010, fêtes]",8/12/2010_19:24,http://farm6.staticflickr.com/5281/5247845911_b383d9bf8b_t.jpg,0
21747,4.8331,45.767,"[world, city, nightphotography, light, people, france, building, museum, night, town, europe, cityscape, nightscape, lyon, cityhall, festivaloflights, fêtedeslumières, placedesterreaux, rhonealpes, rhônealpes, muséedesbeauxarts, presquïle]",9/12/2012_19:54,http://farm3.staticflickr.com/2857/8781841359_f0c7140e04_t.jpg,0
21830,4.8334,45.768,"[travel, winter, france, europe, december, lyon, hiver, 2008, décembre, fêtedeslumières, placedesterreaux]",6/12/2008_15:12,http://farm4.staticflickr.com/3607/3476589801_6f188e471a_t.jpg,0
22410,4.8338,45.768,[],6/12/2009_23:46,http://farm3.staticflickr.com/2529/4237973057_bb67dc9919_t.jpg,0
